"","Date","ACCU","CEA","EUA","UKA","NZU","KAU","WCA","CCA"
"80",2007-04-24,NA,NA,18.04,NA,NA,NA,NA,NA
"81",2007-04-25,NA,NA,18.22,NA,NA,NA,NA,NA
"82",2007-04-26,NA,NA,18.08,NA,NA,NA,NA,NA
"83",2007-04-27,NA,NA,18.15,NA,NA,NA,NA,NA
"84",2007-04-30,NA,NA,19.01,NA,NA,NA,NA,NA
"85",2007-05-01,NA,NA,19.35,NA,NA,NA,NA,NA
"86",2007-05-02,NA,NA,18.98,NA,NA,NA,NA,NA
"87",2007-05-03,NA,NA,19.1,NA,NA,NA,NA,NA
"88",2007-05-04,NA,NA,19.31,NA,NA,NA,NA,NA
"89",2007-05-07,NA,NA,19.78,NA,NA,NA,NA,NA
"90",2007-05-08,NA,NA,19.84,NA,NA,NA,NA,NA
"91",2007-05-09,NA,NA,19.62,NA,NA,NA,NA,NA
"92",2007-05-10,NA,NA,19.35,NA,NA,NA,NA,NA
"93",2007-05-11,NA,NA,19.9,NA,NA,NA,NA,NA
"94",2007-05-14,NA,NA,20.39,NA,NA,NA,NA,NA
"95",2007-05-15,NA,NA,20.6,NA,NA,NA,NA,NA
"96",2007-05-16,NA,NA,20.84,NA,NA,NA,NA,NA
"97",2007-05-17,NA,NA,21.43,NA,NA,NA,NA,NA
"98",2007-05-18,NA,NA,21.75,NA,NA,NA,NA,NA
"99",2007-05-21,NA,NA,22.01,NA,NA,NA,NA,NA
"100",2007-05-22,NA,NA,21.75,NA,NA,NA,NA,NA
"101",2007-05-23,NA,NA,22.21,NA,NA,NA,NA,NA
"102",2007-05-24,NA,NA,23.25,NA,NA,NA,NA,NA
"103",2007-05-25,NA,NA,24.08,NA,NA,NA,NA,NA
"104",2007-05-28,NA,NA,24.15,NA,NA,NA,NA,NA
"105",2007-05-29,NA,NA,25.15,NA,NA,NA,NA,NA
"106",2007-05-30,NA,NA,22.97,NA,NA,NA,NA,NA
"107",2007-05-31,NA,NA,23,NA,NA,NA,NA,NA
"108",2007-06-01,NA,NA,23.88,NA,NA,NA,NA,NA
"109",2007-06-04,NA,NA,24.61,NA,NA,NA,NA,NA
"110",2007-06-05,NA,NA,23.36,NA,NA,NA,NA,NA
"111",2007-06-06,NA,NA,23.35,NA,NA,NA,NA,NA
"112",2007-06-07,NA,NA,22.77,NA,NA,NA,NA,NA
"113",2007-06-08,NA,NA,23.03,NA,NA,NA,NA,NA
"114",2007-06-11,NA,NA,22.78,NA,NA,NA,NA,NA
"115",2007-06-12,NA,NA,22.7,NA,NA,NA,NA,NA
"116",2007-06-13,NA,NA,23.65,NA,NA,NA,NA,NA
"117",2007-06-14,NA,NA,23.65,NA,NA,NA,NA,NA
"118",2007-06-15,NA,NA,22.78,NA,NA,NA,NA,NA
"119",2007-06-18,NA,NA,21.9,NA,NA,NA,NA,NA
"120",2007-06-19,NA,NA,21.19,NA,NA,NA,NA,NA
"121",2007-06-20,NA,NA,21.84,NA,NA,NA,NA,NA
"122",2007-06-21,NA,NA,21.62,NA,NA,NA,NA,NA
"123",2007-06-22,NA,NA,21.89,NA,NA,NA,NA,NA
"124",2007-06-25,NA,NA,21.18,NA,NA,NA,NA,NA
"125",2007-06-26,NA,NA,21.07,NA,NA,NA,NA,NA
"126",2007-06-27,NA,NA,21.43,NA,NA,NA,NA,NA
"127",2007-06-28,NA,NA,22.36,NA,NA,NA,NA,NA
"128",2007-06-29,NA,NA,22.29,NA,NA,NA,NA,NA
"129",2007-07-02,NA,NA,21.7,NA,NA,NA,NA,NA
"130",2007-07-03,NA,NA,21.16,NA,NA,NA,NA,NA
"131",2007-07-04,NA,NA,21.05,NA,NA,NA,NA,NA
"132",2007-07-05,NA,NA,21.48,NA,NA,NA,NA,NA
"133",2007-07-06,NA,NA,21.8,NA,NA,NA,NA,NA
"134",2007-07-09,NA,NA,21.12,NA,NA,NA,NA,NA
"135",2007-07-10,NA,NA,21,NA,NA,NA,NA,NA
"136",2007-07-11,NA,NA,20.67,NA,NA,NA,NA,NA
"137",2007-07-12,NA,NA,19.79,NA,NA,NA,NA,NA
"138",2007-07-13,NA,NA,19.89,NA,NA,NA,NA,NA
"139",2007-07-16,NA,NA,18.88,NA,NA,NA,NA,NA
"140",2007-07-17,NA,NA,19.25,NA,NA,NA,NA,NA
"141",2007-07-18,NA,NA,18.91,NA,NA,NA,NA,NA
"142",2007-07-19,NA,NA,19.35,NA,NA,NA,NA,NA
"143",2007-07-20,NA,NA,19.58,NA,NA,NA,NA,NA
"144",2007-07-23,NA,NA,19.25,NA,NA,NA,NA,NA
"145",2007-07-24,NA,NA,19.3,NA,NA,NA,NA,NA
"146",2007-07-25,NA,NA,19.98,NA,NA,NA,NA,NA
"147",2007-07-26,NA,NA,20.07,NA,NA,NA,NA,NA
"148",2007-07-27,NA,NA,20.3,NA,NA,NA,NA,NA
"149",2007-07-30,NA,NA,20.85,NA,NA,NA,NA,NA
"150",2007-07-31,NA,NA,21.15,NA,NA,NA,NA,NA
"151",2007-08-01,NA,NA,20.46,NA,NA,NA,NA,NA
"152",2007-08-02,NA,NA,20.7,NA,NA,NA,NA,NA
"153",2007-08-03,NA,NA,20.39,NA,NA,NA,NA,NA
"154",2007-08-06,NA,NA,19.6,NA,NA,NA,NA,NA
"155",2007-08-07,NA,NA,20.05,NA,NA,NA,NA,NA
"156",2007-08-08,NA,NA,19.91,NA,NA,NA,NA,NA
"157",2007-08-09,NA,NA,19.65,NA,NA,NA,NA,NA
"158",2007-08-10,NA,NA,19.06,NA,NA,NA,NA,NA
"159",2007-08-13,NA,NA,19.6,NA,NA,NA,NA,NA
"160",2007-08-14,NA,NA,19.4,NA,NA,NA,NA,NA
"161",2007-08-15,NA,NA,19.65,NA,NA,NA,NA,NA
"162",2007-08-16,NA,NA,19.29,NA,NA,NA,NA,NA
"163",2007-08-17,NA,NA,19.4,NA,NA,NA,NA,NA
"164",2007-08-20,NA,NA,19.2,NA,NA,NA,NA,NA
"165",2007-08-21,NA,NA,19.18,NA,NA,NA,NA,NA
"166",2007-08-22,NA,NA,18.63,NA,NA,NA,NA,NA
"167",2007-08-23,NA,NA,18.81,NA,NA,NA,NA,NA
"168",2007-08-24,NA,NA,18.63,NA,NA,NA,NA,NA
"169",2007-08-27,NA,NA,18.4,NA,NA,NA,NA,NA
"170",2007-08-28,NA,NA,19.38,NA,NA,NA,NA,NA
"171",2007-08-29,NA,NA,19.93,NA,NA,NA,NA,NA
"172",2007-08-30,NA,NA,19.4,NA,NA,NA,NA,NA
"173",2007-08-31,NA,NA,19.4,NA,NA,NA,NA,NA
"174",2007-09-03,NA,NA,19.77,NA,NA,NA,NA,NA
"175",2007-09-04,NA,NA,20.91,NA,NA,NA,NA,NA
"176",2007-09-05,NA,NA,20.25,NA,NA,NA,NA,NA
"177",2007-09-06,NA,NA,20.53,NA,NA,NA,NA,NA
"178",2007-09-07,NA,NA,20.47,NA,NA,NA,NA,NA
"179",2007-09-10,NA,NA,20.31,NA,NA,NA,NA,NA
"180",2007-09-11,NA,NA,20.76,NA,NA,NA,NA,NA
"181",2007-09-12,NA,NA,21.1,NA,NA,NA,NA,NA
"182",2007-09-13,NA,NA,20.53,NA,NA,NA,NA,NA
"183",2007-09-14,NA,NA,20.7,NA,NA,NA,NA,NA
"184",2007-09-17,NA,NA,20.54,NA,NA,NA,NA,NA
"185",2007-09-18,NA,NA,20.8,NA,NA,NA,NA,NA
"186",2007-09-19,NA,NA,21.28,NA,NA,NA,NA,NA
"187",2007-09-20,NA,NA,21.77,NA,NA,NA,NA,NA
"188",2007-09-21,NA,NA,21.75,NA,NA,NA,NA,NA
"189",2007-09-24,NA,NA,21.75,NA,NA,NA,NA,NA
"190",2007-09-25,NA,NA,21.39,NA,NA,NA,NA,NA
"191",2007-09-26,NA,NA,21.3,NA,NA,NA,NA,NA
"192",2007-09-27,NA,NA,21.6,NA,NA,NA,NA,NA
"193",2007-09-28,NA,NA,21.68,NA,NA,NA,NA,NA
"194",2007-10-01,NA,NA,21.6,NA,NA,NA,NA,NA
"195",2007-10-02,NA,NA,21.7,NA,NA,NA,NA,NA
"196",2007-10-03,NA,NA,21.38,NA,NA,NA,NA,NA
"197",2007-10-04,NA,NA,21.56,NA,NA,NA,NA,NA
"198",2007-10-05,NA,NA,21.52,NA,NA,NA,NA,NA
"199",2007-10-08,NA,NA,21.67,NA,NA,NA,NA,NA
"200",2007-10-09,NA,NA,21.65,NA,NA,NA,NA,NA
"201",2007-10-10,NA,NA,22.18,NA,NA,NA,NA,NA
"202",2007-10-11,NA,NA,22.36,NA,NA,NA,NA,NA
"203",2007-10-12,NA,NA,22.35,NA,NA,NA,NA,NA
"204",2007-10-15,NA,NA,22.6,NA,NA,NA,NA,NA
"205",2007-10-16,NA,NA,22.82,NA,NA,NA,NA,NA
"206",2007-10-17,NA,NA,23,NA,NA,NA,NA,NA
"207",2007-10-18,NA,NA,22.83,NA,NA,NA,NA,NA
"208",2007-10-19,NA,NA,22.62,NA,NA,NA,NA,NA
"209",2007-10-22,NA,NA,22.16,NA,NA,NA,NA,NA
"210",2007-10-23,NA,NA,22.34,NA,NA,NA,NA,NA
"211",2007-10-24,NA,NA,22.55,NA,NA,NA,NA,NA
"212",2007-10-25,NA,NA,22.78,NA,NA,NA,NA,NA
"213",2007-10-26,NA,NA,22.72,NA,NA,NA,NA,NA
"214",2007-10-29,NA,NA,22.88,NA,NA,NA,NA,NA
"215",2007-10-30,NA,NA,22.17,NA,NA,NA,NA,NA
"216",2007-10-31,NA,NA,22.27,NA,NA,NA,NA,NA
"217",2007-11-01,NA,NA,21.7,NA,NA,NA,NA,NA
"218",2007-11-02,NA,NA,21.5,NA,NA,NA,NA,NA
"219",2007-11-05,NA,NA,21.5,NA,NA,NA,NA,NA
"220",2007-11-06,NA,NA,21.52,NA,NA,NA,NA,NA
"221",2007-11-07,NA,NA,21.62,NA,NA,NA,NA,NA
"222",2007-11-08,NA,NA,21.65,NA,NA,NA,NA,NA
"223",2007-11-09,NA,NA,21.85,NA,NA,NA,NA,NA
"224",2007-11-12,NA,NA,21.91,NA,NA,NA,NA,NA
"225",2007-11-13,NA,NA,22.3,NA,NA,NA,NA,NA
"226",2007-11-14,NA,NA,22.97,NA,NA,NA,NA,NA
"227",2007-11-15,NA,NA,22.6,NA,NA,NA,NA,NA
"228",2007-11-16,NA,NA,22.54,NA,NA,NA,NA,NA
"229",2007-11-19,NA,NA,22.85,NA,NA,NA,NA,NA
"230",2007-11-20,NA,NA,23.74,NA,NA,NA,NA,NA
"231",2007-11-21,NA,NA,23.72,NA,NA,NA,NA,NA
"232",2007-11-22,NA,NA,23.7,NA,NA,NA,NA,NA
"233",2007-11-23,NA,NA,23.69,NA,NA,NA,NA,NA
"234",2007-11-26,NA,NA,23.8,NA,NA,NA,NA,NA
"235",2007-11-27,NA,NA,23.53,NA,NA,NA,NA,NA
"236",2007-11-28,NA,NA,23.29,NA,NA,NA,NA,NA
"237",2007-11-29,NA,NA,22.7,NA,NA,NA,NA,NA
"238",2007-11-30,NA,NA,22.35,NA,NA,NA,NA,NA
"239",2007-12-03,NA,NA,22.98,NA,NA,NA,NA,NA
"240",2007-12-04,NA,NA,23.4,NA,NA,NA,NA,NA
"241",2007-12-05,NA,NA,22.81,NA,NA,NA,NA,NA
"242",2007-12-06,NA,NA,22.77,NA,NA,NA,NA,NA
"243",2007-12-07,NA,NA,22.3,NA,NA,NA,NA,NA
"244",2007-12-10,NA,NA,22.43,NA,NA,NA,NA,NA
"245",2007-12-11,NA,NA,22.51,NA,NA,NA,NA,NA
"246",2007-12-12,NA,NA,22.7,NA,NA,NA,NA,NA
"247",2007-12-13,NA,NA,22.8,NA,NA,NA,NA,NA
"248",2007-12-14,NA,NA,22.65,NA,NA,NA,NA,NA
"249",2007-12-17,NA,NA,22.35,NA,NA,NA,NA,NA
"250",2007-12-18,NA,NA,22.6,NA,NA,NA,NA,NA
"251",2007-12-19,NA,NA,22.45,NA,NA,NA,NA,NA
"252",2007-12-20,NA,NA,22.3,NA,NA,NA,NA,NA
"253",2007-12-21,NA,NA,21.93,NA,NA,NA,NA,NA
"254",2007-12-24,NA,NA,22,NA,NA,NA,NA,NA
"255",2007-12-26,NA,NA,22,NA,NA,NA,NA,NA
"256",2007-12-27,NA,NA,21.87,NA,NA,NA,NA,NA
"257",2007-12-28,NA,NA,22.12,NA,NA,NA,NA,NA
"258",2007-12-31,NA,NA,22.41,NA,NA,NA,NA,NA
"259",2008-01-02,NA,NA,22.92,NA,NA,NA,NA,NA
"260",2008-01-03,NA,NA,23.54,NA,NA,NA,NA,NA
"261",2008-01-04,NA,NA,23.55,NA,NA,NA,NA,NA
"262",2008-01-07,NA,NA,23.66,NA,NA,NA,NA,NA
"263",2008-01-08,NA,NA,23.7,NA,NA,NA,NA,NA
"264",2008-01-09,NA,NA,23.42,NA,NA,NA,NA,NA
"265",2008-01-10,NA,NA,23.11,NA,NA,NA,NA,NA
"266",2008-01-11,NA,NA,23.11,NA,NA,NA,NA,NA
"267",2008-01-14,NA,NA,23.41,NA,NA,NA,NA,NA
"268",2008-01-15,NA,NA,23.17,NA,NA,NA,NA,NA
"269",2008-01-16,NA,NA,22.75,NA,NA,NA,NA,NA
"270",2008-01-17,NA,NA,22.23,NA,NA,NA,NA,NA
"271",2008-01-18,NA,NA,22.28,NA,NA,NA,NA,NA
"272",2008-01-21,NA,NA,20.84,NA,NA,NA,NA,NA
"273",2008-01-22,NA,NA,20.31,NA,NA,NA,NA,NA
"274",2008-01-23,NA,NA,20.03,NA,NA,NA,NA,NA
"275",2008-01-24,NA,NA,19.76,NA,NA,NA,NA,NA
"276",2008-01-25,NA,NA,21.04,NA,NA,NA,NA,NA
"277",2008-01-28,NA,NA,20.65,NA,NA,NA,NA,NA
"278",2008-01-29,NA,NA,20.7,NA,NA,NA,NA,NA
"279",2008-01-30,NA,NA,20.08,NA,NA,NA,NA,NA
"280",2008-01-31,NA,NA,19.1,NA,NA,NA,NA,NA
"281",2008-02-01,NA,NA,19.22,NA,NA,NA,NA,NA
"282",2008-02-04,NA,NA,19.19,NA,NA,NA,NA,NA
"283",2008-02-05,NA,NA,18.84,NA,NA,NA,NA,NA
"284",2008-02-06,NA,NA,19.97,NA,NA,NA,NA,NA
"285",2008-02-07,NA,NA,20.44,NA,NA,NA,NA,NA
"286",2008-02-08,NA,NA,20.39,NA,NA,NA,NA,NA
"287",2008-02-11,NA,NA,20.16,NA,NA,NA,NA,NA
"288",2008-02-12,NA,NA,19.97,NA,NA,NA,NA,NA
"289",2008-02-13,NA,NA,19.93,NA,NA,NA,NA,NA
"290",2008-02-14,NA,NA,20.72,NA,NA,NA,NA,NA
"291",2008-02-15,NA,NA,20.87,NA,NA,NA,NA,NA
"292",2008-02-18,NA,NA,20.93,NA,NA,NA,NA,NA
"293",2008-02-19,NA,NA,21.64,NA,NA,NA,NA,NA
"294",2008-02-20,NA,NA,21.5,NA,NA,NA,NA,NA
"295",2008-02-21,NA,NA,21.7,NA,NA,NA,NA,NA
"296",2008-02-22,NA,NA,21.48,NA,NA,NA,NA,NA
"297",2008-02-25,NA,NA,21.59,NA,NA,NA,NA,NA
"298",2008-02-26,NA,NA,21.35,NA,NA,NA,NA,NA
"299",2008-02-27,NA,NA,21.26,NA,NA,NA,NA,NA
"300",2008-02-28,NA,NA,21.16,NA,NA,NA,NA,NA
"301",2008-02-29,NA,NA,21.31,NA,NA,NA,NA,NA
"302",2008-03-03,NA,NA,20.88,NA,NA,NA,NA,NA
"303",2008-03-04,NA,NA,20.67,NA,NA,NA,NA,NA
"304",2008-03-05,NA,NA,21.24,NA,NA,NA,NA,NA
"305",2008-03-06,NA,NA,21.35,NA,NA,NA,NA,NA
"306",2008-03-07,NA,NA,21.38,NA,NA,NA,NA,NA
"307",2008-03-10,NA,NA,21.66,NA,NA,NA,NA,NA
"308",2008-03-11,NA,NA,21.86,NA,NA,NA,NA,NA
"309",2008-03-12,NA,NA,21.95,NA,NA,NA,NA,NA
"310",2008-03-13,NA,NA,22.55,NA,NA,NA,NA,NA
"311",2008-03-14,NA,NA,22.21,NA,NA,NA,NA,NA
"312",2008-03-17,NA,NA,21.43,NA,NA,NA,NA,NA
"313",2008-03-18,NA,NA,21.66,NA,NA,NA,NA,NA
"314",2008-03-19,NA,NA,21.56,NA,NA,NA,NA,NA
"315",2008-03-20,NA,NA,21.97,NA,NA,NA,NA,NA
"316",2008-03-25,NA,NA,22.54,NA,NA,NA,NA,NA
"317",2008-03-26,NA,NA,22.51,NA,NA,NA,NA,NA
"318",2008-03-27,NA,NA,22.26,NA,NA,NA,NA,NA
"319",2008-03-28,NA,NA,21.76,NA,NA,NA,NA,NA
"320",2008-03-31,NA,NA,22.27,NA,NA,NA,NA,NA
"321",2008-04-01,NA,NA,22.52,NA,NA,NA,NA,NA
"322",2008-04-02,NA,NA,23.42,NA,NA,NA,NA,NA
"323",2008-04-03,NA,NA,23.47,NA,NA,NA,NA,NA
"324",2008-04-04,NA,NA,23.31,NA,NA,NA,NA,NA
"325",2008-04-07,NA,NA,23.82,NA,NA,NA,NA,NA
"326",2008-04-08,NA,NA,23.51,NA,NA,NA,NA,NA
"327",2008-04-09,NA,NA,23.69,NA,NA,NA,NA,NA
"328",2008-04-10,NA,NA,24.44,NA,NA,NA,NA,NA
"329",2008-04-11,NA,NA,24.38,NA,NA,NA,NA,NA
"330",2008-04-14,NA,NA,25,NA,NA,NA,NA,NA
"331",2008-04-15,NA,NA,25.14,NA,NA,NA,NA,NA
"332",2008-04-16,NA,NA,24.8,NA,NA,NA,NA,NA
"333",2008-04-17,NA,NA,24.69,NA,NA,NA,NA,NA
"334",2008-04-18,NA,NA,24.51,NA,NA,NA,NA,NA
"335",2008-04-21,NA,NA,25.23,NA,NA,NA,NA,NA
"336",2008-04-22,NA,NA,25.34,NA,NA,NA,NA,NA
"337",2008-04-23,NA,NA,25,NA,NA,NA,NA,NA
"338",2008-04-24,NA,NA,24.51,NA,NA,NA,NA,NA
"339",2008-04-25,NA,NA,24.74,NA,NA,NA,NA,NA
"340",2008-04-28,NA,NA,24.63,NA,NA,NA,NA,NA
"341",2008-04-29,NA,NA,24.19,NA,NA,NA,NA,NA
"342",2008-04-30,NA,NA,23.88,NA,NA,NA,NA,NA
"343",2008-05-01,NA,NA,23.56,NA,NA,NA,NA,NA
"344",2008-05-02,NA,NA,24.5,NA,NA,NA,NA,NA
"345",2008-05-06,NA,NA,25.31,NA,NA,NA,NA,NA
"346",2008-05-07,NA,NA,25.03,NA,NA,NA,NA,NA
"347",2008-05-08,NA,NA,24.91,NA,NA,NA,NA,NA
"348",2008-05-09,NA,NA,25.17,NA,NA,NA,NA,NA
"349",2008-05-12,NA,NA,25.39,NA,NA,NA,NA,NA
"350",2008-05-13,NA,NA,25.04,NA,NA,NA,NA,NA
"351",2008-05-14,NA,NA,24.46,NA,NA,NA,NA,NA
"352",2008-05-15,NA,NA,24.68,NA,NA,NA,NA,NA
"353",2008-05-16,NA,NA,24.89,NA,NA,NA,NA,NA
"354",2008-05-19,NA,NA,25.31,NA,NA,NA,NA,NA
"355",2008-05-20,NA,NA,25.36,NA,NA,NA,NA,NA
"356",2008-05-21,NA,NA,25.73,NA,NA,NA,NA,NA
"357",2008-05-22,NA,NA,26.06,NA,NA,NA,NA,NA
"358",2008-05-23,NA,NA,26.11,NA,NA,NA,NA,NA
"359",2008-05-26,NA,NA,26.38,NA,NA,NA,NA,NA
"360",2008-05-27,NA,NA,26.34,NA,NA,NA,NA,NA
"361",2008-05-28,NA,NA,26.19,NA,NA,NA,NA,NA
"362",2008-05-29,NA,NA,26.59,NA,NA,NA,NA,NA
"363",2008-05-30,NA,NA,26.1,NA,NA,NA,NA,NA
"364",2008-06-02,NA,NA,26.34,NA,NA,NA,NA,NA
"365",2008-06-03,NA,NA,27.13,NA,NA,NA,NA,NA
"366",2008-06-04,NA,NA,26.6,NA,NA,NA,NA,NA
"367",2008-06-05,NA,NA,26.44,NA,NA,NA,NA,NA
"368",2008-06-06,NA,NA,27.54,NA,NA,NA,NA,NA
"369",2008-06-09,NA,NA,27.49,NA,NA,NA,NA,NA
"370",2008-06-10,NA,NA,27.2,NA,NA,NA,NA,NA
"371",2008-06-11,NA,NA,27.32,NA,NA,NA,NA,NA
"372",2008-06-12,NA,NA,27.16,NA,NA,NA,NA,NA
"373",2008-06-13,NA,NA,27,NA,NA,NA,NA,NA
"374",2008-06-16,NA,NA,27.13,NA,NA,NA,NA,NA
"375",2008-06-17,NA,NA,27.24,NA,NA,NA,NA,NA
"376",2008-06-18,NA,NA,27.5,NA,NA,NA,NA,NA
"377",2008-06-19,NA,NA,27.64,NA,NA,NA,NA,NA
"378",2008-06-20,NA,NA,27.41,NA,NA,NA,NA,NA
"379",2008-06-23,NA,NA,27.77,NA,NA,NA,NA,NA
"380",2008-06-24,NA,NA,27.78,NA,NA,NA,NA,NA
"381",2008-06-25,NA,NA,27.59,NA,NA,NA,NA,NA
"382",2008-06-26,NA,NA,27.88,NA,NA,NA,NA,NA
"383",2008-06-27,NA,NA,28.34,NA,NA,NA,NA,NA
"384",2008-06-30,NA,NA,28.77,NA,NA,NA,NA,NA
"385",2008-07-01,NA,NA,29.33,NA,NA,NA,NA,NA
"386",2008-07-02,NA,NA,27.99,NA,NA,NA,NA,NA
"387",2008-07-03,NA,NA,27.45,NA,NA,NA,NA,NA
"388",2008-07-04,NA,NA,27.64,NA,NA,NA,NA,NA
"389",2008-07-07,NA,NA,27.51,NA,NA,NA,NA,NA
"390",2008-07-08,NA,NA,25.79,NA,NA,NA,NA,NA
"391",2008-07-09,NA,NA,26.02,NA,NA,NA,NA,NA
"392",2008-07-10,NA,NA,26.68,NA,NA,NA,NA,NA
"393",2008-07-11,NA,NA,27.45,NA,NA,NA,NA,NA
"394",2008-07-14,NA,NA,27.26,NA,NA,NA,NA,NA
"395",2008-07-15,NA,NA,26.32,NA,NA,NA,NA,NA
"396",2008-07-16,NA,NA,25.03,NA,NA,NA,NA,NA
"397",2008-07-17,NA,NA,25.76,NA,NA,NA,NA,NA
"398",2008-07-18,NA,NA,24.5,NA,NA,NA,NA,NA
